Presence of JS,Presence of NS,Presence of internal JS,Number of JS,Number of NS,Number of external JS,Number of internal JS,Presence of image,Presence of iframe,Presence of links,Number of image,Number of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,Presence of World Traffic rank,Presence of Country Traffic rank,World Traffic rank,Country Traffic rank,presence of form,No of form,probability0,probability1,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,40,3,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,0,4,0,0,0,0,16,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,14,0,0,14,1,0,1,5,0,0,17,0,1,0,30,3,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,19,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,22,0,0,22,0,1,1,0,1,0,100,0,0,0,31,3,0,2,2,0,0,0,1,0,0,0,0,1,1,2,0,1
1,0,1,6,0,0,6,0,0,1,0,0,0,3,0,0,0,73,5,0,4,3,0,0,0,23,2,0,7109912,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,15,0,0,0,42,3,0,2,3,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,1,0,0,1,0,0,0,0,0,0,52,3,0,4,1,0,0,0,4,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,66,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,4,0,0,0,0,6,2,2,426019,19392,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,15,0,0,0,41,3,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,1,7,0,0,2,1,6,2,0,4983831,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,57,5,0,8,0,0,0,0,0,2,2,84744,615,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,67,3,0,6,2,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,8,0,0,39,0,0,0,35,3,0,3,1,0,0,0,0,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,1,0,0,1,0,0,0,0,0,0,73,3,0,6,1,0,0,0,4,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,37,1,0,37,1,0,1,4,0,0,14,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0,0,31,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,8,0,0,39,0,0,0,44,3,0,4,1,0,0,0,0,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,0,6,1,0,0,0,14,2,2,65,58,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,0,4,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,44,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,73,3,1,5,2,0,1,0,2,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,27,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,67,3,0,6,5,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,1,0,1,1,0,0,38,0,0,0,20,3,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,65,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,73,4,0,6,2,0,1,0,2,2,0,296308,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,57,3,0,5,3,0,0,0,3,2,2,6001,2145,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,0,0,1,0,0,0,1,0,0,0,20,3,0,1,0,0,0,0,1,2,2,25134,33352,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,33,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,13,0,0,0,45,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73,3,0,5,0,0,0,0,14,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,36,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,19,0,0,0,42,3,0,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,0,8,2,0,0,0,0,2,0,9385804,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,33,3,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,4,0,0,4,0,0,1,0,0,0,3,0,0,0,59,6,0,6,0,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,1,5,0,1,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,4,0,0,4,0,0,0,32,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,5,1,5,1,0,1,0,16,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,7,0,4,2,1,0,0,0,2,0,4806243,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,26,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,38,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,22,1,0,22,1,0,1,2,0,0,19,0,0,0,73,4,1,5,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,3,0,0,3,1,0,1,10,0,0,7,0,0,0,73,6,1,6,1,1,1,0,0,0,0,0,0,1,1,0,2,1
1,0,1,11,0,0,11,1,0,1,7,0,0,15,0,0,0,45,3,0,5,1,0,0,0,5,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,7,5,0,0,0,18,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,1,4,0,0,2,1,6,2,0,5848688,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,1,0,0,0,23,0,0,0,33,3,0,2,0,0,0,0,2,2,0,678656,0,0,0,0,2,1
1,1,1,15,1,0,15,0,1,1,0,1,0,31,0,0,0,49,3,0,5,0,0,0,0,0,0,0,0,0,1,2,0,2,1
1,1,1,21,7,0,21,1,0,1,10,0,0,14,0,0,0,57,2,0,3,3,0,0,0,0,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73,4,0,5,0,0,0,0,21,2,0,938761,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,1,4,0,0,1,0,7,0,0,0,0,0,0,0,2,1
1,0,1,9,0,0,9,0,0,1,0,0,0,14,0,0,0,73,6,0,7,0,0,0,0,14,2,0,2390126,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,0,9,2,0,0,0,0,2,0,9385804,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73,5,0,5,0,0,0,0,21,2,0,938761,0,0,0,0,2,1
1,1,1,1,1,0,1,1,0,1,2,0,0,26,0,0,0,73,3,1,6,1,0,1,0,4,2,0,2564456,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,43,3,0,2,0,0,0,0,6,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,7,1,0,1,0,13,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,6,1,0,1,0,10,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,19,0,0,0,33,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,19,0,0,19,1,0,1,2,0,0,41,0,1,0,73,7,0,5,1,0,0,0,7,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,0,5,5,0,0,0,0,2,0,6100682,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,9,0,0,9,1,0,1,4,0,0,2,0,0,0,38,4,0,1,0,0,0,0,0,2,0,4978253,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4,0,6,0,0,0,0,6,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7,0,5,0,0,0,0,3,2,0,3060150,0,0,0,0,2,1
1,1,1,19,1,0,19,0,1,1,0,1,0,29,0,0,0,54,3,0,5,0,0,0,0,0,0,0,0,0,1,2,0,2,1
1,1,1,20,1,0,20,1,0,1,2,0,0,15,0,0,0,60,3,0,5,3,0,0,0,0,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4,0,6,1,0,1,0,12,2,0,3880036,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,43,3,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,4,0,0,4,0,0,1,0,0,0,10,0,0,0,73,5,0,7,1,0,0,0,0,0,0,0,0,1,2,0,2,1
1,1,1,19,1,0,19,1,0,1,1,0,0,1,0,0,0,62,4,1,4,0,0,1,0,0,2,0,7912348,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,42,3,0,3,0,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,13,0,0,0,35,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,35,3,0,2,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,39,3,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,0,5,3,0,0,0,2,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,1,4,0,0,1,0,11,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,33,3,0,1,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,44,4,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,4,0,0,16,0,0,0,40,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,34,3,0,2,1,0,0,0,0,2,2,107875,2314,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,51,3,0,5,3,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,6,0,0,6,1,0,1,20,0,0,37,0,0,0,53,4,0,1,0,0,0,0,3,0,0,0,0,1,1,0,2,1
1,1,1,27,1,0,27,1,0,1,4,0,0,23,0,1,0,65,4,0,1,0,0,0,0,20,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,5,0,1,1,0,0,0,0,2,2,261102,74294,0,0,0,2,1
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,129,9,0,3,1,0,0,0,17,2,2,30758,49426,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,66,3,1,4,3,0,0,0,12,0,0,0,0,0,0,0,2,1
1,0,1,4,0,0,4,1,0,1,1,0,0,6,0,0,0,39,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,13,0,0,13,1,0,1,1,0,0,15,0,0,0,120,5,1,3,1,0,7,6,14,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,5,1,4,0,0,0,4,36,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,1,0,1,30,0,0,7,0,0,0,19,3,0,2,0,0,0,0,3,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,7,1,2,1,0,1,0,84,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,6,2,2,17890,779,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,5,1,4,0,0,0,2,29,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,1,0,0,0,0,17,2,2,261102,74294,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,4,1,5,0,0,5,1,4,0,0,0,0,0,0,0,2,1
1,1,1,42,1,0,42,1,0,1,8,0,0,22,0,0,0,78,8,0,2,2,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,10,0,0,10,1,0,1,5,0,0,26,0,0,0,45,3,0,3,3,0,0,0,1,0,0,0,0,1,1,0,2,1
1,0,1,5,0,0,5,1,0,1,4,0,0,1,0,0,0,63,5,1,3,1,0,1,0,22,0,0,0,0,1,1,0,2,1
1,0,1,7,0,0,7,0,0,1,0,0,0,8,0,0,0,47,6,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,1,0,1,1,0,0,4,0,0,0,40,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,52,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,191,4,1,2,0,1,3,2,85,0,0,0,0,0,0,0,2,1
1,0,1,15,0,0,15,1,0,1,1,0,0,23,0,0,0,46,5,0,2,1,0,0,0,4,2,0,2684798,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,1,0,0,0,0,0,2,2,261102,74294,0,0,0,2,1
1,0,1,15,0,0,15,1,0,1,3,0,0,31,0,0,0,70,4,1,2,1,0,1,2,0,2,0,9830428,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,4,0,0,0,38,3,0,2,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,12,0,0,12,1,0,1,1,0,0,14,0,0,0,26,3,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,3,0,9,0,0,0,0,4,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,0,3,0,0,0,0,6,2,2,17890,779,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,27,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,15,0,0,15,1,0,1,11,0,0,77,0,0,0,37,3,0,2,0,0,0,0,0,0,0,0,0,1,4,2,0,1
0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,71,3,0,2,1,0,0,0,2,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,8,1,2,1,0,1,0,88,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,2,0,0,0,0,0,2,2,302170,111920,0,0,0,2,1
1,1,1,19,1,0,19,1,1,1,7,2,0,63,0,0,0,95,8,0,3,2,0,0,0,1,2,0,3850150,0,1,3,0,2,1
1,0,1,13,0,0,13,1,1,1,29,2,0,114,0,0,0,106,8,0,1,3,0,0,0,26,0,0,0,0,1,2,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6,1,1,0,0,1,0,6,2,2,261102,74294,0,0,0,2,1
1,1,1,5,1,0,5,0,0,1,0,0,0,1,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,17,0,0,17,0,0,0,0,0,0,0,0,0,0,23,3,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,9,0,0,9,1,0,1,36,0,0,35,0,0,0,36,3,0,3,2,0,0,0,0,0,0,0,0,1,1,2,0,1
1,1,1,66,10,0,66,1,1,1,21,1,0,245,0,0,0,47,3,0,6,0,0,0,0,11,0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,69,4,0,5,2,0,0,0,17,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,7,0,2,0,1,0,0,0,2,0,5950415,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,5,1,3,1,0,3,2,46,0,0,0,0,0,0,0,2,1
1,1,1,32,2,0,32,1,1,1,5,1,0,61,0,1,0,142,5,1,3,1,0,3,4,33,2,0,5232844,0,1,3,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,22,1,0,22,1,1,1,7,1,0,10,0,0,0,37,4,0,2,0,0,0,0,0,2,2,780,456,0,0,2,0,1
1,1,1,19,26,0,19,1,0,1,48,0,0,165,0,0,0,46,7,0,1,0,0,0,0,0,2,0,1057803,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,5,2,2,17890,779,0,0,0,2,1
1,0,1,5,0,0,5,1,0,0,3,0,0,0,0,0,0,38,5,0,3,0,0,0,0,5,2,2,188317,1834,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,2,0,0,4,0,0,0,267,4,1,5,0,3,2,2,111,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,7,0,1,0,0,0,0,27,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,6,1,4,2,0,1,0,4,0,0,0,0,0,0,0,2,1
1,0,1,7,0,0,7,0,0,1,0,0,0,8,0,0,0,37,5,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,6,2,2,17890,779,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,4,1,6,1,3,2,3,43,2,0,9830277,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,8,1,2,1,0,1,0,105,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,7,1,2,1,0,1,0,76,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,220,6,2,1,2,1,3,2,40,0,0,0,0,0,0,0,2,1
1,1,1,16,1,0,16,1,0,1,3,0,0,31,0,0,0,36,4,0,2,0,0,0,0,0,2,0,8813254,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,8,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,4,1,2,1,1,3,2,88,2,0,6621384,0,0,0,0,2,1
1,0,1,10,0,0,10,1,0,1,16,0,0,63,0,0,0,44,3,0,3,0,0,0,0,0,2,0,9286415,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,4,1,2,1,1,3,2,68,2,0,6621384,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,120,3,1,7,1,0,3,2,25,2,2,104717,36397,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,7,1,2,1,0,1,0,84,0,0,0,0,0,0,0,2,1
1,0,1,1,0,0,1,1,0,1,1,0,0,2,0,0,0,37,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,1
1,1,1,10,1,0,10,1,0,1,13,0,0,155,0,0,0,65,3,0,6,0,0,0,0,3,2,2,104717,36397,0,0,2,0,1
1,0,1,7,0,0,7,1,0,1,1,0,0,17,0,0,0,81,8,0,4,1,0,0,0,0,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,0,5,1,2,0,0,1,2,2,60543,45297,0,0,0,2,1
0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,27,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
