Presence of JS,Presence of NS,Presence of internal JS,Number of JS,Number of NS,Number of external JS,Number of internal JS,Presence of image,Presence of iframe,Presence of links,Number of image,Number of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,Presence of World Traffic rank,Presence of Country Traffic rank,World Traffic rank,Country Traffic rank,presence of form,No of form,probability0,probability1,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,62,4,0,2,0,0,0,0,7,2,2,6001,2145,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,95,4,0,2,0,0,0,0,4,2,2,6001,2145,0,0,0,2,1
1,1,1,3,3,0,3,1,0,1,3,0,0,2,0,0,0,70,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,37,0,0,37,1,0,1,10,0,0,86,0,0,0,48,5,0,3,0,0,0,0,0,2,2,2256644,13134,1,4,0,2,1
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,140,4,0,7,4,5,0,0,1,2,2,30758,49426,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,2,0,0,0,0,6,0,0,0,0,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,38,3,0,2,1,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,53,4,0,3,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,50,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,9,1,2,0,1,3,2,72,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7,2,3,1,0,3,2,41,0,0,0,0,0,0,0,2,1
1,0,1,25,0,0,25,1,1,1,31,7,0,95,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,0,1,2,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,4,1,0,0,0,2,0,0,0,0,0,0,0,2,1
1,1,1,27,1,0,27,1,0,1,1,0,0,18,0,0,0,47,6,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,2,0,0,2,1,0,1,5,0,0,6,0,0,0,49,3,0,2,0,0,0,0,3,2,2,6001,2145,0,0,0,2,1
1,0,1,19,0,0,19,1,0,1,4,0,0,70,0,0,0,24,4,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,10,47,0,10,1,0,1,25,0,0,998,0,0,0,43,3,0,1,0,0,0,0,0,0,0,0,0,1,4,2,0,1
1,0,1,2,0,0,2,1,0,1,4,0,0,18,0,0,0,49,3,0,3,1,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,9,0,0,9,0,0,1,0,0,0,8,0,0,0,488,22,1,20,4,8,10,9,11,2,2,109878,15608,1,1,0,2,1
1,0,1,7,0,0,7,1,0,0,1,0,0,0,0,0,0,28,4,0,2,0,0,0,0,2,2,0,461868,0,1,1,0,2,1
1,1,1,36,2,0,36,1,0,1,5,0,0,33,0,1,0,116,6,1,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,22,0,0,0,42,5,0,2,0,0,0,0,0,2,2,389130,5428,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,2,1
1,1,1,4,1,0,4,0,0,1,0,0,0,1,0,0,0,41,3,0,2,0,0,0,0,0,2,2,4255,1914,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,205,10,1,3,0,0,1,0,89,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1
1,0,1,11,0,0,11,0,0,0,0,0,0,0,0,0,0,70,4,1,3,0,0,1,0,1,2,2,33,13,0,0,0,2,1
1,0,1,5,0,0,5,1,0,1,1,0,0,4,0,0,0,137,7,1,2,0,3,5,4,11,2,2,1,1,1,1,0,2,1
1,1,1,10,47,0,10,1,0,1,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,18,0,0,0,0,1,4,2,0,1
1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,1,0,0,0,0,1,1,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,1
1,1,1,10,47,0,10,1,0,1,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,15,0,0,0,0,1,4,2,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
