Presence of JS,Presence of NS,Presence of internal JS,Presence of image,Presence of iframe,Presence of links,Number of JS,Number of NS,Number of internal JS,Number of image,Nuber of iframes,Number of links,Number of sms API call,Number of tel API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,9,0,2,0,0,0,0,0,0,0,0.049291163711383,0.950708836288621,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,1,1,0,0,0,0,0,0,0.304510523826669,0.69548947617334,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,62,4,0,2,0,0,0,0,7,6001,2145,0.337175057748518,0.66282494225149,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,95,4,0,2,0,0,0,0,4,6001,2145,0.18940992173253,0.810590078267464,0,0,1
1,1,1,1,0,1,3,3,3,3,0,2,0,0,70,8,0,1,0,0,0,0,0,0,0,0.302427074798684,0.697572925201315,1,1,1
1,0,1,1,0,1,37,0,37,10,0,86,0,0,48,5,0,3,0,0,0,0,0,2256644,13134,0.040137708837459,0.959862291162541,1,4,1
1,1,1,0,1,1,1,1,1,0,1,1,0,0,140,4,0,7,4,5,0,0,1,30758,49426,0.033143557948874,0.966856442051113,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,2,0,0,0,0,6,0,0,0.414822139173671,0.585177860826337,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,38,3,0,2,1,0,0,0,3,6001,2145,0.434085397632509,0.565914602367486,0,0,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,53,4,0,3,0,0,0,0,3,6001,2145,0.377956729330148,0.62204327066986,0,0,1
1,0,1,0,0,0,1,0,1,0,0,0,0,0,50,6,0,3,0,0,0,0,0,0,0,0.377783728448064,0.622216271551925,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,9,1,2,0,1,3,2,72,0,0,2.68131412007672E-06,0.999997318685885,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7,2,3,1,0,3,2,41,0,0,0.000282219528371,0.999717780471618,0,0,1
1,0,1,1,1,1,25,0,25,31,7,95,0,0,25,3,0,2,0,0,0,0,0,0,0,0.674090404155619,0.325909595844375,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,4,1,0,0,0,2,0,0,0.420149139770091,0.579850860229905,0,0,1
1,1,1,1,0,1,27,1,27,1,0,18,0,0,47,6,0,2,0,0,0,0,0,0,0,0.486936891919092,0.513063108080898,1,1,1
1,0,1,1,0,1,2,0,2,5,0,6,0,0,49,3,0,2,0,0,0,0,3,6001,2145,0.394371355046207,0.605628644953779,0,0,1
1,0,1,1,0,1,19,0,19,4,0,70,0,0,24,4,0,2,0,0,0,0,0,0,0,0.586138286346599,0.413861713653388,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,1,0,0,0,0,0,0,0.464477025895874,0.535522974104115,0,0,1
1,1,1,1,0,1,10,47,10,25,0,998,0,0,43,3,0,1,0,0,0,0,0,0,0,0.999999999995737,4.26951193374481E-12,1,4,1
1,0,1,1,0,1,2,0,2,4,0,18,0,0,49,3,0,3,1,0,0,0,0,0,0,0.399305703706633,0.600694296293371,1,1,1
1,0,1,0,0,1,9,0,9,0,0,8,0,0,488,22,1,20,4,8,10,9,11,109878,15608,1.09611641150255E-14,1,1,1,1
1,0,1,1,0,0,7,0,7,1,0,0,0,0,28,4,0,2,0,0,0,0,2,461868,0,0.433974222111889,0.566025777888111,1,1,1
