Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,probability0,probability1,presence of form,No of form,Output
1,1,0,1,0,1,0,1,3,1,0,3,0,1,0,7,0,0,0,0,57,4,0,2,0,0,0,0,0,29,53867,3273,0.3379119604230684,0.6620880395769416,1,1,1
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,3,0,0,0,0,40,3,0,2,2,0,0,0,0,0,0,0,0.4176563261394731,0.5823436738605404,0,0,1
1,1,0,1,1,1,0,1,22,1,0,22,7,1,0,10,0,0,0,0,48,5,0,2,0,0,0,0,0,3,780,456,0.465776579744868,0.5342234202551399,0,0,1
1,0,0,1,1,0,0,1,17,0,0,17,13,0,0,46,0,0,0,0,18,3,0,1,0,0,0,0,0,0,0,0,0.5775606133664409,0.4224393866335646,0,0,1
1,0,0,1,0,0,0,1,5,0,0,5,0,0,0,6,0,0,0,0,37,3,0,1,0,0,0,0,0,0,0,0,0.4402453280605138,0.5597546719394846,0,0,1
1,1,0,1,1,0,0,1,9,1,0,9,1,0,0,16,0,0,0,0,33,3,0,1,1,0,0,0,0,0,0,0,0.472610870668298,0.5273891293317006,1,3,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,50,3,0,2,3,0,0,0,0,7,6001,2145,0.38719605050308237,0.6128039494969155,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,46,3,0,2,1,0,0,0,0,1,0,0,0.3906753116458756,0.6093246883541196,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,9,0,2,0,0,0,0,0,0,0,0,0.04929116371138302,0.9507088362886209,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,1,1,0,0,0,0,0,0,0,0.3045105238266694,0.6954894761733403,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,62,4,0,2,0,0,0,0,0,7,6001,2145,0.3371750577485179,0.6628249422514904,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,95,4,0,2,0,0,0,0,0,4,6001,2145,0.18940992173252952,0.8105900782674637,0,0,1
1,1,0,1,1,0,0,1,3,3,0,3,3,0,0,2,0,0,0,0,70,8,0,1,0,0,0,0,0,0,0,0,0.302427074798684,0.6975729252013156,1,1,1
1,0,0,1,1,0,0,1,37,0,0,37,10,0,0,86,0,0,0,0,48,5,0,3,0,0,0,0,0,0,2256644,13134,0.04013770883745928,0.9598622911625407,1,4,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,140,4,0,7,4,5,0,0,0,1,30758,49426,0.03314355794887394,0.9668564420511133,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,2,0,0,0,0,0,6,0,0,0.4148221391736711,0.5851778608263369,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,38,3,0,2,1,0,0,0,0,3,6001,2145,0.4340853976325085,0.5659146023674856,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,53,4,0,3,0,0,0,0,0,3,6001,2145,0.37795672933014796,0.6220432706698595,0,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,6,0,3,0,0,0,0,0,0,0,0,0.37778372844806385,0.6222162715519246,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,9,1,2,0,1,3,2,0,72,0,0,2.6813141200767154e-06,0.9999973186858846,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,7,2,3,1,0,3,2,2,41,0,0,0.0002822195283707985,0.9997177804716185,0,0,1
1,0,0,1,1,1,0,1,25,0,0,25,31,7,0,95,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,0.6740904041556189,0.32590959584437545,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,0,4,1,0,0,0,0,2,0,0,0.4201491397700912,0.5798508602299046,0,0,1
1,1,0,1,1,0,0,1,27,1,0,27,1,0,0,18,0,0,0,0,47,6,0,2,0,0,0,0,0,0,0,0,0.48693689191909206,0.5130631080808978,1,1,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,49,3,0,2,0,0,0,0,0,3,6001,2145,0.3943713550462074,0.6056286449537792,0,0,1
1,0,0,1,1,0,0,1,19,0,0,19,4,0,0,70,0,0,0,0,24,4,0,2,0,0,0,0,0,0,0,0,0.5861382863465995,0.41386171365338803,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3,0,1,1,0,0,0,0,0,0,0,0.4644770258958743,0.5355229741041154,0,0,11,1,0,1,1,0,0,1,10,47,0,10,25,0,0,998,0,0,0,0,43,3,0,1,0,0,0,0,0,0,0,0,0.9999999999957367,4.2695119337448124e-12,1,4,1
1,0,0,1,1,0,0,1,2,0,0,2,4,0,0,18,0,0,0,0,49,3,0,3,1,0,0,0,0,0,0,0,0.3993057037066334,0.6006942962933706,1,1,1
1,0,0,1,0,0,0,1,9,0,0,9,0,0,0,8,0,0,0,0,488,22,1,20,4,8,10,9,0,11,109878,15608,1.0961164115025511e-14,1.0,1,1,1
1,0,0,1,1,0,0,0,7,0,0,7,1,0,0,0,0,0,0,0,28,4,0,2,0,0,0,0,0,2,461868,0,0.4339742221118894,0.5660257778881107,1,1,1
1,1,0,1,1,0,0,1,36,2,0,36,5,0,0,33,0,1,0,0,116,6,1,3,1,0,0,0,0,0,0,0,0.17592839350209621,0.8240716064979097,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0,0,42,5,0,2,0,0,0,0,0,0,389130,5428,0.39762055398454665,0.6023794460154548,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,8,0,5,1,0,0,0,0,0,0,0,0.29386783959345164,0.7061321604065384,0,0,1
1,1,0,1,0,0,0,1,4,1,0,4,0,0,0,1,0,0,0,0,41,3,0,2,0,0,0,0,0,0,4255,1914,0.4235573213875092,0.5764426786124829,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,205,10,1,3,0,0,1,0,0,89,0,0,0.001293953426115362,0.9987060465738787,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,0,0.38517285452398586,0.6148271454760019,1,1,1
1,0,0,1,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,70,4,1,3,0,0,1,0,0,1,33,13,0.31902488030546766,0.680975119694527,0,0,1
1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,4,0,0,0,0,137,7,1,2,0,3,5,4,0,11,1,1,0.05312682509467706,0.946873174905326,1,1,1
1,1,0,1,1,0,0,1,10,47,0,10,25,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,18,0,0,0.9999999999939462,6.048780740060128e-12,1,4,1
1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,1,0,0,0.4307510778610093,0.5692489221389969,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,0.45703613381009767,0.5429638661898919,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5,0,1,0,0,0,0,0,4,0,0,0.39896871416583723,0.6010312858341569,0,0,1
1,1,0,1,1,0,0,1,10,47,0,10,25,0,0,998,0,0,0,0,60,3,0,1,1,0,0,0,0,15,0,0,0.9999999999940314,5.98033952967929e-12,1,4,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,22,3,0,1,0,0,0,0,0,1,0,0,0.4644040729644041,0.5355959270355956,0,0,1
