Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
0,0,0,0,0,0,0,0,0,0,0,51,3,0,5,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,73,6,0,6,1,0,0,0,1,0,0,0,1
2,0,0,2,4,0,0,16,0,0,0,45,3,0,3,1,0,0,0,0,0,0,1,1
3,0,0,3,10,0,0,7,0,0,0,40,5,0,3,0,1,0,0,0,6608072,0,1,1
0,0,0,0,0,0,0,0,0,0,0,54,3,0,5,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,0,5,0,0,0,0,18,0,0,0,1
2,0,0,2,5,0,0,6,0,0,0,45,3,0,2,0,0,0,0,3,6001,2145,0,1
2,0,0,2,4,0,0,18,0,0,0,33,3,0,1,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,19,0,0,0,45,3,0,3,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,61,3,0,6,3,0,0,0,0,0,0,0,1
26,1,0,26,9,1,0,206,0,0,0,59,5,0,6,1,0,0,0,0,0,0,2,1
3,0,0,3,10,0,0,7,0,0,0,73,5,1,7,0,2,2,1,0,6608072,0,1,1
6,1,0,6,27,0,0,2333,0,0,0,73,4,0,4,2,2,0,0,2,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,71,3,1,8,2,0,1,0,0,0,0,0,1
22,0,0,22,0,1,0,100,0,0,0,24,3,0,1,2,0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,4,0,0,0,23,3,0,2,0,0,0,0,3,0,0,0,1
2,0,0,2,4,0,0,15,0,0,0,45,4,0,1,1,0,0,0,0,0,0,1,1
3,0,0,3,0,0,0,0,0,0,0,69,7,1,6,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,57,4,0,8,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,16,0,0,0,42,3,0,2,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,16,0,0,0,32,3,0,1,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,57,4,0,5,1,0,0,0,0,0,0,0,1
10,1,0,10,0,0,1,0,0,0,0,42,3,0,3,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,51,3,0,6,2,0,0,0,0,0,0,0,1
3,0,0,3,2,0,0,5,0,0,0,23,3,0,1,0,0,0,0,0,0,0,2,1
2,0,0,2,4,0,0,16,0,0,0,36,3,0,1,1,0,0,0,0,0,0,1,1
3,0,0,3,0,0,0,0,0,0,0,73,7,1,6,0,0,1,0,4,0,0,0,1
0,0,0,0,0,0,0,7,0,0,0,39,3,0,5,0,0,0,0,1,0,0,1,1
14,0,0,14,0,0,0,6,0,0,0,21,3,0,1,0,0,0,0,3,0,0,0,1
11,0,0,11,9,0,0,22,0,0,0,30,3,0,1,2,0,0,0,0,0,0,1,1
9,0,0,9,1,0,0,3,0,0,0,64,2,0,5,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,16,0,0,0,43,4,0,1,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,3,0,0,0,73,4,0,7,2,0,0,0,13,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,69,4,1,5,1,1,2,1,3,3475157,0,0,1
2,0,0,2,5,0,0,6,0,0,0,37,3,0,2,0,0,0,0,12,6001,2145,0,1
2,0,0,2,5,0,0,6,0,0,0,49,3,0,5,1,0,0,0,3,6001,2145,0,1
0,0,0,0,2,0,0,0,0,0,0,29,3,0,1,0,0,0,0,1,0,0,1,1
5,0,0,5,7,7,0,188,0,0,0,39,3,0,3,0,0,0,0,0,0,0,2,1
2,0,0,2,4,0,0,18,0,0,0,36,3,0,2,2,0,0,0,0,0,0,1,1
8,1,0,8,9,0,0,19,0,0,0,70,7,0,6,1,0,0,0,0,58375,826,2,1
0,0,0,0,0,0,0,0,0,0,0,54,4,0,5,2,0,0,0,0,0,0,0,1
6,0,0,6,0,0,0,3,0,0,0,73,5,0,4,3,0,0,0,15,7109912,0,0,1
12,1,0,12,4,0,0,41,0,0,0,73,11,0,5,0,0,0,0,0,0,0,2,1
2,0,0,2,4,0,0,18,0,0,0,32,3,0,1,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,54,4,0,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,22,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,58,4,0,6,1,0,0,0,0,0,0,0,1
9,0,0,9,4,0,0,2,0,0,0,35,4,0,2,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,67,6,0,5,1,0,0,0,5,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,65,5,0,4,0,0,0,0,21,0,0,0,1
0,0,0,0,4,0,0,4,0,0,0,35,6,0,1,0,0,0,0,1,0,0,1,1
6,0,0,6,0,0,0,3,0,0,0,73,5,0,4,3,0,0,0,20,7109912,0,0,1
0,0,0,0,0,0,0,0,0,0,0,64,4,0,4,0,0,0,0,21,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,60,3,0,6,3,0,0,0,0,0,0,0,1
3,0,0,3,3,0,0,11,0,0,0,34,4,0,3,0,0,0,0,9,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,36,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,7,1,0,0,0,4,7496,1920,0,1
0,0,0,0,0,0,0,0,0,0,0,73,3,1,6,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,1,5,1,0,0,0,0,5656693,0,0,1
9,0,0,9,1,0,0,4,0,0,0,42,3,0,1,0,0,0,0,5,0,0,1,1
2,0,0,2,4,0,0,18,0,0,0,42,3,0,2,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,55,4,0,5,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,52,3,0,5,3,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,65,4,0,6,0,0,0,0,7,5931,2457,0,1
0,0,0,0,0,0,0,0,0,0,0,63,4,0,4,0,0,0,0,16,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,49,3,0,6,2,0,0,0,0,0,0,0,1
35,1,0,35,13,0,0,67,0,0,0,73,3,1,6,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,44,3,0,3,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,18,0,0,0,26,3,0,1,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,5,1,0,0,0,0,4564861,0,0,1
22,0,0,22,0,1,0,100,0,0,0,32,2,0,1,1,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,18,0,0,0,42,3,0,2,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,37,3,0,3,1,0,0,0,3,0,0,0,1
2,0,0,2,4,0,0,16,0,0,0,40,3,0,1,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,50,4,0,5,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,64,5,0,4,0,0,0,0,16,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,21,3,0,2,0,0,0,0,0,0,0,0,1
14,0,0,14,5,0,0,17,0,1,0,30,3,0,1,1,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,59,4,0,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,57,4,0,5,2,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,19,0,0,0,30,3,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,28,2,0,2,1,0,0,0,0,0,0,0,1
22,0,0,22,0,1,0,100,0,0,0,31,3,0,2,2,0,0,0,1,0,0,1,1
6,0,0,6,0,0,0,3,0,0,0,73,5,0,4,3,0,0,0,23,7109912,0,0,1
2,0,0,2,4,0,0,15,0,0,0,42,3,0,2,3,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,62,4,0,5,2,0,0,0,0,0,0,0,1
7,0,0,7,1,0,0,0,0,0,0,52,3,0,4,1,0,0,0,4,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,64,3,0,6,0,0,0,0,0,0,0,0,1
3,0,0,3,0,0,0,0,0,0,0,66,3,0,6,5,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,70,3,0,4,0,0,0,0,6,426019,19392,0,1
2,0,0,2,4,0,0,15,0,0,0,41,3,0,2,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,67,4,1,7,0,0,2,1,6,4983831,0,0,1
0,0,0,0,0,0,0,0,0,0,0,51,3,0,4,2,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,26,3,0,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,57,5,0,8,0,0,0,0,0,84744,615,0,1
2,0,0,2,5,0,0,6,0,0,0,67,3,0,6,2,0,0,0,3,6001,2145,0,1
2,0,0,2,8,0,0,39,0,0,0,35,3,0,3,1,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,58,4,0,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,50,3,0,4,2,0,0,0,0,0,0,0,1
7,0,0,7,1,0,0,0,0,0,0,73,3,0,6,1,0,0,0,4,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,59,4,0,5,2,0,0,0,0,0,0,0,1
37,1,0,37,4,0,0,14,0,0,0,22,3,0,2,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,38,4,0,2,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,60,4,0,5,2,0,0,0,0,0,0,0,1
0,0,0,0,4,0,0,4,0,0,0,31,4,0,1,0,0,0,0,0,0,0,1,1
2,0,0,2,8,0,0,39,0,0,0,44,3,0,4,1,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,73,5,0,6,1,0,0,0,14,65,58,0,1
0,0,0,0,0,0,0,0,0,0,0,40,4,0,2,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,56,7,0,4,1,0,0,0,0,0,0,1,1
1,0,0,1,1,0,0,2,0,0,0,44,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,73,3,1,5,2,0,1,0,2,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,27,4,0,3,0,0,0,0,0,0,0,0,1
3,0,0,3,0,0,0,0,0,0,0,67,3,0,6,5,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,1
4,0,0,4,1,0,0,38,0,0,0,20,3,0,1,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,0,0,65,7,0,5,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,73,4,0,6,2,0,1,0,2,296308,0,0,1
2,0,0,2,5,0,0,6,0,0,0,57,3,0,5,3,0,0,0,3,6001,2145,0,1
0,0,0,0,0,0,0,0,0,0,0,49,3,0,4,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,34,3,0,3,1,0,0,0,0,0,0,0,1
2,0,0,2,0,0,0,1,0,0,0,20,3,0,1,0,0,0,0,1,25134,33352,1,1
2,0,0,2,4,0,0,16,0,0,0,33,3,0,2,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,6,1,5,1,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,13,0,0,0,45,3,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,0,73,3,0,5,0,0,0,0,14,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,36,3,0,1,3,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,19,0,0,0,42,3,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,51,4,0,4,2,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,0,8,2,0,0,0,0,9385804,0,0,1
0,0,0,0,0,0,0,0,0,0,0,56,4,0,7,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,41,5,0,3,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,39,5,0,2,1,0,0,0,1,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,33,3,0,1,2,0,0,0,0,0,0,1,1
4,0,0,4,0,0,0,3,0,0,0,59,6,0,6,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,5,1,5,0,1,0,0,0,0,0,0,1
0,0,0,0,4,0,0,4,0,0,0,32,5,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,5,1,5,1,0,1,0,16,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,7,0,4,2,1,0,0,0,4806243,0,0,1
1,0,0,1,0,0,0,0,0,0,0,26,2,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,38,3,0,2,0,0,0,0,0,0,0,0,1
22,1,0,22,2,0,0,19,0,0,0,73,4,1,5,2,0,0,0,0,0,0,1,1
3,0,0,3,10,0,0,7,0,0,0,73,6,1,6,1,1,1,0,0,0,0,1,1
11,0,0,11,7,0,0,15,0,0,0,45,3,0,5,1,0,0,0,5,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,4,0,7,5,0,0,0,18,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,52,5,1,4,0,0,2,1,6,5848688,0,0,1
1,0,0,1,0,0,0,23,0,0,0,33,3,0,2,0,0,0,0,2,678656,0,0,1
15,1,0,15,0,1,0,31,0,0,0,49,3,0,5,0,0,0,0,0,0,0,2,1
21,7,0,21,10,0,0,14,0,0,0,57,2,0,3,3,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,1,0,0,0,73,4,0,5,0,0,0,0,21,938761,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,3,1,4,0,0,1,0,7,0,0,0,1
9,0,0,9,0,0,0,14,0,0,0,73,6,0,7,0,0,0,0,14,2390126,0,2,1
0,0,0,0,0,0,0,0,0,0,0,73,6,0,9,2,0,0,0,0,9385804,0,0,1
0,0,0,0,0,0,0,1,0,0,0,73,5,0,5,0,0,0,0,21,938761,0,0,1
1,1,0,1,2,0,0,26,0,0,0,73,3,1,6,1,0,1,0,4,2564456,0,1,1
0,0,0,0,0,0,0,1,0,0,0,73,6,0,4,2,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,43,3,0,2,0,0,0,0,6,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,73,4,0,7,1,0,1,0,13,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,0,6,1,0,1,0,10,0,0,0,1
2,0,0,2,4,0,0,19,0,0,0,33,3,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,69,6,0,6,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,52,4,0,5,1,0,0,0,0,0,0,0,1
19,0,0,19,2,0,0,41,0,1,0,73,7,0,5,1,0,0,0,7,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,6,0,5,5,0,0,0,0,6100682,0,0,1
0,0,0,0,0,0,0,0,0,0,0,73,4,1,6,1,0,0,0,0,0,0,0,1
9,0,0,9,4,0,0,2,0,0,0,38,4,0,1,0,0,0,0,0,4978253,0,1,1
0,0,0,0,0,0,0,0,0,0,0,30,3,0,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,56,4,0,6,0,0,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,59,7,0,5,0,0,0,0,3,3060150,0,0,1
19,1,0,19,0,1,0,29,0,0,0,54,3,0,5,0,0,0,0,0,0,0,2,1
20,1,0,20,2,0,0,15,0,0,0,60,3,0,5,3,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,73,4,0,6,1,0,1,0,12,3880036,0,0,1
2,0,0,2,4,0,0,18,0,0,0,43,3,0,2,2,0,0,0,0,0,0,1,1
4,0,0,4,0,0,0,10,0,0,0,73,5,0,7,1,0,0,0,0,0,0,2,1
19,1,0,19,1,0,0,1,0,0,0,62,4,1,4,0,0,1,0,0,7912348,0,1,1
2,0,0,2,4,0,0,16,0,0,0,42,3,0,3,0,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,13,0,0,0,35,3,0,1,1,0,0,0,0,0,0,1,1
2,0,0,2,5,0,0,6,0,0,0,35,3,0,2,0,0,0,0,3,6001,2145,0,1
2,0,0,2,4,0,0,16,0,0,0,39,3,0,1,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,55,3,0,5,3,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,41,4,1,4,0,0,1,0,11,0,0,0,1
1,0,0,1,1,0,0,2,0,0,0,40,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,64,5,0,7,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,18,0,0,0,33,3,0,1,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,18,0,0,0,44,4,0,2,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,16,0,0,0,40,4,0,1,1,0,0,0,0,0,0,1,1
1,0,0,1,0,0,0,0,0,0,0,34,3,0,2,1,0,0,0,0,107875,2314,0,1
2,0,0,2,5,0,0,6,0,0,0,51,3,0,5,3,0,0,0,3,6001,2145,0,1
6,0,0,6,20,0,0,37,0,0,0,53,4,0,1,0,0,0,0,3,0,0,1,1
27,1,0,27,4,0,0,23,0,1,0,65,4,0,1,0,0,0,0,20,0,0,2,1
0,0,0,0,0,0,0,0,0,0,0,52,5,0,1,1,0,0,0,0,261102,74294,0,1
1,1,0,1,0,1,1,1,0,0,0,129,9,0,3,1,0,0,0,17,30758,49426,0,1
0,0,0,0,0,0,0,1,0,0,0,66,3,1,4,3,0,0,0,12,0,0,0,1
4,0,0,4,1,0,0,6,0,0,0,39,3,0,1,0,0,0,0,0,0,0,0,1
13,0,0,13,1,0,0,15,0,0,0,120,5,1,3,1,0,7,6,14,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,179,5,1,4,0,0,0,4,36,0,0,0,1
7,0,0,7,30,0,0,7,0,0,0,19,3,0,2,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,181,7,1,2,1,0,1,0,84,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,33,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,6,17890,779,0,1
0,0,0,0,0,0,0,0,0,0,0,179,5,1,4,0,0,0,2,29,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,55,4,0,1,0,0,0,0,17,261102,74294,0,1
0,0,0,0,0,0,0,0,0,0,0,76,4,1,5,0,0,5,1,4,0,0,0,1
42,1,0,42,8,0,0,22,0,0,0,78,8,0,2,2,0,0,0,0,0,0,1,1
10,0,0,10,5,0,0,26,0,0,0,45,3,0,3,3,0,0,0,1,0,0,1,1
5,0,0,5,4,0,0,1,0,0,0,63,5,1,3,1,0,1,0,22,0,0,1,1
7,0,0,7,0,0,0,8,0,0,0,47,6,0,2,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,4,0,0,0,40,3,0,2,1,0,0,0,2,0,0,0,1
1,0,0,1,0,0,0,1,0,0,0,52,3,0,3,0,0,0,0,9,0,0,0,1
0,0,0,0,2,0,0,2,0,0,0,191,4,1,2,0,1,3,2,85,0,0,0,1
15,0,0,15,1,0,0,23,0,0,0,46,5,0,2,1,0,0,0,4,2684798,0,2,1
0,0,0,0,0,0,0,0,0,0,0,38,4,0,1,0,0,0,0,0,261102,74294,0,1
15,0,0,15,3,0,0,31,0,0,0,70,4,1,2,1,0,1,2,0,9830428,0,1,1
2,0,0,2,5,0,0,4,0,0,0,38,3,0,2,0,0,0,0,3,6001,2145,0,1
12,0,0,12,1,0,0,14,0,0,0,26,3,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,75,3,0,9,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,36,3,0,3,0,0,0,0,6,17890,779,0,1
0,0,0,0,0,0,1,0,0,0,0,27,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,33,3,0,1,0,0,0,0,0,0,0,0,1
15,0,0,15,11,0,0,77,0,0,0,37,3,0,2,0,0,0,0,0,0,0,4,1
0,0,0,0,2,0,0,2,0,0,0,71,3,0,2,1,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,217,8,1,2,1,0,1,0,88,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,48,4,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,39,3,0,2,0,0,0,0,0,302170,111920,0,1
19,1,0,19,7,2,0,63,0,0,0,95,8,0,3,2,0,0,0,1,3850150,0,3,1
13,0,0,13,29,2,0,114,0,0,0,106,8,0,1,3,0,0,0,26,0,0,2,1
0,0,0,0,0,0,1,0,0,0,0,37,3,0,1,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,54,6,1,1,0,0,1,0,6,261102,74294,0,1
5,1,0,5,0,0,0,1,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,1
17,0,0,17,0,0,0,0,0,0,0,23,3,0,3,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,17,3,0,1,0,0,0,0,0,0,0,0,1
9,0,0,9,36,0,0,35,0,0,0,36,3,0,3,2,0,0,0,0,0,0,1,1
66,10,0,66,21,1,0,245,0,0,0,47,3,0,6,0,0,0,0,11,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,69,4,0,5,2,0,0,0,17,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,58,7,0,2,0,1,0,0,0,5950415,0,0,1
0,0,0,0,0,0,0,0,0,0,0,404,5,1,3,1,0,3,2,46,0,0,0,1
32,2,0,32,5,1,0,61,0,1,0,142,5,1,3,1,0,3,4,33,5232844,0,3,1
0,0,0,0,0,0,1,0,0,0,0,28,3,0,1,0,0,0,0,0,0,0,0,1
22,1,0,22,7,1,0,10,0,0,0,37,4,0,2,0,0,0,0,0,780,456,0,1
19,26,0,19,48,0,0,165,0,0,0,46,7,0,1,0,0,0,0,0,1057803,0,0,1
0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,5,17890,779,0,1
5,0,0,5,3,0,0,0,0,0,0,38,5,0,3,0,0,0,0,5,188317,1834,1,1
2,0,0,2,2,0,0,4,0,0,0,267,4,1,5,0,3,2,2,111,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,67,7,0,1,0,0,0,0,27,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,80,6,1,4,2,0,1,0,4,0,0,0,1
7,0,0,7,0,0,0,8,0,0,0,37,5,0,2,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,38,3,0,3,0,0,0,0,6,17890,779,0,1
0,0,0,0,0,0,0,0,0,0,0,156,4,1,6,1,3,2,3,43,9830277,0,0,1
0,0,0,0,0,0,0,0,0,0,0,217,8,1,2,1,0,1,0,105,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,182,7,1,2,1,0,1,0,76,0,0,0,1
0,0,0,0,0,0,0,2,0,0,0,220,6,2,1,2,1,3,2,40,0,0,0,1
16,1,0,16,3,0,0,31,0,0,0,36,4,0,2,0,0,0,0,0,8813254,0,1,1
0,0,0,0,0,0,0,0,0,0,0,65,3,0,3,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,56,8,0,1,1,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,190,4,1,2,1,1,3,2,88,6621384,0,0,1
10,0,0,10,16,0,0,63,0,0,0,44,3,0,3,0,0,0,0,0,9286415,0,1,1
0,0,0,0,0,0,0,0,0,0,0,190,4,1,2,1,1,3,2,68,6621384,0,0,1
0,0,0,0,1,0,0,2,0,0,0,120,3,1,7,1,0,3,2,25,104717,36397,0,1
0,0,0,0,0,0,0,0,0,0,0,49,5,0,1,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,183,7,1,2,1,0,1,0,84,0,0,0,1
1,0,0,1,1,0,0,2,0,0,0,37,3,0,2,0,0,0,0,2,0,0,0,1
10,1,0,10,13,0,0,155,0,0,0,65,3,0,6,0,0,0,0,3,104717,36397,0,1
7,0,0,7,1,0,0,17,0,0,0,81,8,0,4,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,77,5,0,5,1,2,0,0,1,60543,45297,0,1
0,0,0,0,2,0,0,2,0,0,0,27,3,0,1,0,0,0,0,0,0,0,0,1
21,3,0,21,4,5,0,19,0,0,0,126,3,1,3,4,2,1,0,45,2089669,0,1,1
0,0,0,0,0,0,0,1,0,0,0,77,3,0,4,2,0,0,0,9,0,0,0,1
24,1,0,24,2,0,0,57,0,0,0,54,5,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,152,6,1,2,1,1,4,2,60,0,0,0,1
4,0,0,4,7,0,0,8,0,0,0,67,7,0,2,2,0,0,0,4,0,0,1,1
6,0,0,6,1,0,0,27,0,0,0,22,3,0,1,0,0,0,0,2,549267,12538,1,1
5,1,0,5,6,0,0,1,0,0,0,50,5,0,3,0,0,0,0,0,4908096,0,1,1
0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,1,0,0,0,0,0,0,0,1
2,0,0,2,2,0,0,3,0,0,0,53,3,0,2,0,0,0,0,1,61171,1455,1,1
10,0,0,10,5,0,0,26,0,0,0,43,3,0,3,3,0,0,0,1,0,0,1,1
1,0,0,1,0,1,0,0,0,0,0,27,4,0,2,0,0,0,0,2,0,0,0,1
2,0,0,2,1,0,0,1,0,0,0,31,3,0,3,0,0,0,0,3,0,0,0,1
27,1,0,27,4,0,0,23,0,1,0,66,5,0,1,0,0,0,0,20,0,0,2,1
0,0,0,0,1,0,0,0,0,0,0,44,5,0,1,0,0,0,0,0,0,0,1,1
5,0,0,5,0,0,0,5,0,0,0,18,3,0,1,0,0,0,0,0,0,0,0,1
42,0,0,42,4,1,0,17,0,0,0,58,6,0,2,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,1
