Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of digits,World Traffic rank,Country Traffic rank,No of form,Output
9,0,0,9,0,0,0,8,0,0,0,488,22,1,20,4,8,10,9,11,109878,15608,1,1
7,0,0,7,1,0,0,0,0,0,0,28,4,0,2,0,0,0,0,2,461868,0,1,1
36,2,0,36,5,0,0,33,0,1,0,116,6,1,3,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,22,0,0,0,42,5,0,2,0,0,0,0,0,389130,5428,0,1
0,0,0,0,0,0,0,0,0,0,0,69,8,0,5,1,0,0,0,0,0,0,0,1
4,1,0,4,0,0,0,1,0,0,0,41,3,0,2,0,0,0,0,0,4255,1914,0,1
0,0,0,0,0,0,0,1,0,0,0,205,10,1,3,0,0,1,0,89,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,48,6,0,2,0,0,0,0,0,0,0,1,1
11,0,0,11,0,0,0,0,0,0,0,70,4,1,3,0,0,1,0,1,33,13,0,1
5,0,0,5,1,0,0,4,0,0,0,137,7,1,2,0,3,5,4,11,1,1,1,1
10,47,0,10,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,18,0,0,4,1
2,0,0,2,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,43,5,0,1,0,0,0,0,4,0,0,0,1
10,47,0,10,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,15,0,0,4,1
0,0,0,0,0,0,0,1,0,0,0,22,3,0,1,0,0,0,0,1,0,0,0,1
1,0,0,1,1,0,0,2,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,72,8,0,2,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,74,11,0,1,0,0,0,0,0,3622257,19306,0,1
0,0,0,0,0,0,0,0,0,0,0,35,3,0,1,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,50,6,0,3,1,0,0,0,1,0,0,0,1
0,0,0,0,2,0,0,0,0,0,0,50,7,0,3,0,0,0,0,1,1629550,191903,1,1
2,0,0,2,4,0,0,15,0,0,0,55,3,0,4,2,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,36,3,0,2,0,0,0,0,0,0,0,0,1
10,47,0,10,25,0,0,998,0,0,0,60,3,0,1,1,0,0,0,24,0,0,4,1
0,0,0,0,0,1,0,0,0,0,0,23,3,0,1,0,0,0,0,1,9450879,0,0,1
1,0,0,1,0,0,0,0,0,0,0,78,3,1,3,1,0,1,0,17,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,68,5,0,1,4,0,0,0,20,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,39,2,1,4,0,0,1,0,0,0,0,0,1
4,0,0,4,0,0,0,0,0,0,0,41,3,0,2,0,0,0,0,0,0,0,0,1
2,0,0,2,4,0,0,15,0,0,0,46,3,0,3,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,16,0,0,0,47,3,0,3,2,0,0,0,0,0,0,1,1
2,0,0,2,4,0,0,18,0,0,0,40,3,0,2,1,0,0,0,0,0,0,1,1
4,0,0,4,0,0,0,0,0,0,0,47,3,0,3,1,0,0,0,0,0,0,0,1
4,0,0,4,0,0,0,0,0,0,0,54,3,0,3,2,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,35,6,0,2,0,0,0,0,1,269840,32626,0,1
