Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,3,0,0,3,42,0,0,16,0,0,0,0,23,2,0,2,0,0,0,0,0,0,336,95,0
1,1,0,1,1,0,0,1,6,1,0,6,20,0,0,321,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,19,2,0,1,0,0,0,0,0,0,291,243,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,1,0,0,0,0,0,0,9587,3207,0
1,1,0,1,0,1,0,0,28,1,0,28,0,1,0,0,0,0,0,0,23,2,0,1,0,0,0,0,0,0,250,401,0
1,1,0,1,1,0,0,1,4,2,0,4,31,0,0,363,0,0,0,0,24,2,0,2,0,0,0,0,0,0,12,8,0
1,0,0,1,1,0,0,1,5,0,0,5,25,0,0,25,0,0,0,0,25,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,6,0,0,6,1,0,0,29,0,0,0,0,17,2,0,1,0,0,0,0,0,0,118,3,0
1,1,0,1,1,0,0,1,60,1,0,60,22,0,0,207,0,0,0,0,26,2,0,2,0,0,0,0,0,0,1,1,0
1,0,0,1,1,0,0,1,97,0,0,97,12,0,0,97,0,0,0,0,16,2,0,1,0,0,0,0,0,0,71,41,0
1,1,0,1,1,1,0,1,45,2,0,45,42,1,0,319,0,0,0,0,22,2,0,2,0,0,0,0,0,0,572,179,0
1,0,0,1,1,0,0,1,9,0,0,9,11,0,0,143,0,0,0,0,22,2,0,1,0,0,0,0,0,0,161,74,0
1,1,0,1,1,0,0,1,3,1,0,3,23,0,0,114,0,0,0,0,15,2,0,1,0,0,0,0,0,0,54,49,0
1,0,0,1,1,0,0,1,12,0,0,12,1,0,0,7,0,0,0,0,23,2,0,2,0,0,0,0,0,0,1,1,0
1,1,0,1,1,0,0,1,11,1,0,11,106,0,0,267,0,0,0,0,19,2,0,1,0,0,0,0,0,0,2053,370,0
