Presence of JS,Presence of NS,Presence of external JS,Presence of internal JS,Presence of image,Presence of iframe,Presence of redirects,Presence of links,Number of JS,Number of NS,Number of external JS,Number of internal JS,Number of image,Nuber of iframes,Number of redirects,Number of links,Number of sms API call,Number of tel API call,Number of apk API call,Number of mms API call,Length of URL,Number of forward slash,Number of question marks,Number of dots,Number of hypens,Number of underscore,Number of equal signs,Number of ampersand,Number of semi-colon,Number of digits,World Traffic rank,Country Traffic rank,Output
1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,0,30,3,0,2,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,1,3,0,0,1,0,0,0,0,0,1
1,1,0,1,1,1,0,1,2,1,0,2,9,1,0,26,0,0,0,0,54,5,0,2,1,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,39,3,0,2,0,0,0,0,0,7,6202,1817,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,139,8,1,3,0,0,1,0,0,40,6283718,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,75,3,1,6,0,1,1,0,0,0,0,0,1
1,0,0,1,1,0,0,1,2,0,0,2,5,0,0,6,0,0,0,0,43,3,0,3,1,0,0,0,0,4,6202,1817,1
1,0,0,1,1,0,0,1,2,0,0,2,8,0,0,39,0,0,0,0,41,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,1,1,0,1,25,0,0,25,31,7,0,95,0,0,0,0,25,3,0,2,0,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,37,0,0,37,10,0,0,86,0,0,0,0,48,5,0,3,0,0,0,0,0,0,4195454,0,1
1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,82,3,1,6,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,11,0,1,0,0,0,0,0,0,5829615,0,1
1,0,0,1,0,0,0,1,7,0,0,7,0,0,0,1,0,0,0,0,109,4,0,1,2,0,0,0,0,0,0,0,1
1,0,0,1,1,0,0,1,5,0,0,5,1,0,0,29,0,0,0,0,110,13,0,3,1,1,0,0,0,5,7967016,0,1
1,0,0,1,1,0,0,1,2,0,0,2,7,0,0,9,0,0,0,0,194,14,0,5,2,0,1,0,0,62,6082519,0,1
1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,39,5,0,2,0,0,0,0,0,1,0,0,1
1,1,0,1,1,0,0,1,1,1,0,1,2,0,0,26,0,0,0,0,96,3,1,3,1,0,1,0,0,18,4000661,0,1
1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,140,4,0,7,4,5,0,0,0,1,25324,5310,1
